id,name,type,exp_name,m1a_hit,m5c_hit,m6a_hit,m7g_hit,full_hit,m1a_Regulation,m5c_Regulation,m6a_Regulation,m7g_Regulation,regulation,logFC,PValue,FDR,degree.x,closeness_centrality.x,betweenness_centrality.x,eigenvector_centrality.x,page_rank_score.x,clustering_coefficient.x,DNB,m1a_Foldchange,m5c_Foldchange,m6a_Foldchange,m7g_Foldchange,CCF_diff,CCF_abs_diff,CCF_p_ttest,CCF_p_wilcoxon,divergene,protein_degree,protein_closeness_centrality,protein_betweenness_centrality,protein_eigenvector_centrality,protein_page_rank_score,protein_clustering_coefficient,protein_m1.mean,protein_m0.mean,protein_Diff,protein_abs_Diff,protein_pvalue,lit_meta,lit_meta_colon
A2M,2,mRNA,ENSG00000175899,0,0,1,0,1,down,down,down,down,down,-1.570447926,0.005673042,0.026586107,5111,9.43E-09,12496.32765,0.869342083,0.000137265,0.487639683,no,60.25899281,7.538124452,22.2471216,21.53125,0.034059377,0.034059377,0.773740006,0.731546422,no,0.000596303,0,0.042932953,0.002073924,0.459459459,NA,938596006.7,2041053228,-1102457222,269593192.8,0.024767543,0,0
AATF,26574,mRNA,ENSG00000108270,1,0,0,1,2,down,down,up,down,up,0.658844853,0.043623988,0.116941559,1847,8.39E-09,18507.28613,0.318285141,6.08E-05,0.61127441,no,217.9,2.649782923,3.996796313,483,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ABCA5,23461,mRNA,ENSG00000154265,1,0,0,0,1,down,down,up,down,up,0.436300177,0.376503009,0.516185683,36,8.06E-09,1442.683066,3.60E-05,3.00E-05,0.257142857,no,248.9,6.614035088,4.239296981,17.38375486,-0.03021011,0.03021011,0.758980122,0.474251585,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ABCA6,23460,mRNA,ENSG00000154262,1,1,1,1,4,down,down,down,down,down,-3.206319248,0.000272389,0.002754644,3233,1.13E-08,14268.56569,0.371603289,0.000102465,0.399144956,no,574.2,341,28.44808743,665.8,0.004802957,0.004802957,0.963411399,0.849087081,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ABHD17C,58489,mRNA,ENSG00000136379,0,0,1,0,1,up,down,up,up,up,3.617443983,5.96E-05,0.000894873,1960,2.67E-08,3541.117654,0.136196663,7.75E-05,0.343337917,no,26.44241316,161,36.2752809,175.5,0.258037121,0.258037121,0.108512456,0.118982044,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ABT1,29777,mRNA,ENSG00000146109,1,0,0,1,2,down,up,up,down,up,0.295478669,0.467323195,0.604490544,94,8.21E-09,10157.89548,0.002041664,2.22E-05,0.371539693,no,341.8,13.15686275,3.325643044,682.4,-0.110575877,0.110575877,0.426531762,0.425110283,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ACAP1,9744,mRNA,ENSG00000072818,0,0,0,1,1,down,up,down,down,down,-1.567760263,0.00142127,0.009506829,4489,9.43E-09,12389.48024,0.723914491,0.00012566,0.47199383,no,6.203422053,4.47826087,3.296091954,1563.2,0.028869734,0.028869734,0.860524019,0.697571221,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ACTA2,59,mRNA,ENSG00000107796,0,0,0,1,1,down,down,down,down,down,-1.404795072,0.001634844,0.010618404,3501,9.17E-09,6111.373662,0.6229117,9.79E-05,0.575488473,no,6.280342595,3.349272349,6.456837607,489.2142857,-0.0113625,0.0113625,0.280721438,0.415388376,no,0.000618812,0,0.06797994,0.002257679,0.216216216,NA,42444931972,74124823954,-31679891982,269593192.8,0.018090093,2,0
ACTB,60,mRNA,ENSG00000075624,0,0,0,0,0,up,up,up,down,down,-0.376552626,0.114918341,0.225364459,1704,8.24E-09,13273.23636,0.187166967,6.39E-05,0.460641122,no,22.36781609,4.20441989,5.746394324,113.7939936,-0.007575,0.007575,0.292043388,0.382114238,yes,0.000791766,1019.685791,0.458118672,0.008056715,0.107964448,NA,61569003696,1.0139E+11,-39820757257,269593192.8,0.018250974,1,1
ACTG1,71,mRNA,ENSG00000184009,1,0,0,1,2,up,up,up,down,up,0.735645847,0.006756399,0.03019736,3317,8.39E-09,26128.05658,0.404878406,0.00010314,0.406504417,no,878.9,15.88151659,3.568621286,532.8,0.212231422,0.212231422,0.116318372,0.169784248,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
ACTL10,170487,mRNA,ENSG00000182584,1,1,1,0,3,up,up,up,up,up,4.321279537,0.058060727,0.142113617,731,8.29E-09,18378.2963,0.050999135,4.13E-05,0.458092686,no,362.5,281,11.72716049,301.9,-0.228596429,0.228596429,0.262802124,0.141522144,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ACTN4,81,mRNA,ENSG00000130402,0,0,0,1,1,up,up,up,down,up,1.519629264,2.53E-05,0.000476102,3454,1.81E-08,5965.17666,0.425448929,0.000106128,0.409652089,no,9.913571075,7.901408451,5.084201444,496.8795812,-0.134783254,0.134783254,0.234589238,0.141499365,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
ACY3,91703,mRNA,ENSG00000132744,0,0,1,1,2,down,up,up,up,up,3.096873549,0.072846107,0.165064365,5204,8.39E-09,38870.46855,0.870143742,0.000140464,0.470408856,no,6.922858303,7.341463415,74.208,638.8,0.081724848,0.081724848,0.627657165,0.594640078,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ADAMTSL4,54507,mRNA,ENSG00000143382,1,0,1,0,2,down,down,down,down,down,-3.814915236,1.59E-06,6.52E-05,4299,1.18E-08,13434.37915,0.659113393,0.000121785,0.449173685,no,241.1,9.33216045,115.5773196,66.43011508,0.015696199,0.015696199,0.844320474,0.702245965,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ADAMTSL4-AS1,574406,mRNA,ENSG00000203804,0,0,0,0,0,down,down,down,down,down,-2.664782805,0.036050997,0.102021791,3804,1.08E-08,8909.121246,0.584103276,0.000110284,0.474579397,no,3.169000165,5.6573717,6.38764881,24.36382944,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ADGRE5,976,mRNA,NA,1,0,0,1,2,down,down,down,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,628.4,5.190272582,2.960748385,1539.267016,0.094075347,0.094075347,0.449497838,0.888474899,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
ADNP,23394,mRNA,ENSG00000101126,1,1,0,1,3,up,up,up,down,up,0.665426945,0.006933325,0.030792018,3454,8.28E-09,30975.08585,0.425448929,0.000106128,0.409652089,no,530.3,781,2.623249789,582.7,0.02546993,0.02546993,0.744161588,0.952804858,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ADPRHL1,113622,mRNA,ENSG00000153531,1,1,1,1,4,up,up,up,up,up,8.472159136,0.001030292,0.007435038,3140,5.48E-08,775.4073968,0.327676782,0.000121046,0.328931685,no,633.6,221,21.20341394,837.4,0.053552381,0.053552381,0.8220141,0.942421512,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AEBP1,165,mRNA,ENSG00000106624,0,0,1,1,2,down,down,down,down,down,-3.692778675,2.77E-06,9.56E-05,5207,1.17E-08,7984.352741,0.867883142,0.000140715,0.467201611,no,3.93935194,22.12014913,26.02813299,3065.157143,0.075397907,0.075397907,0.278051032,0.323126857,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AFF4,27125,mRNA,ENSG00000072364,1,0,0,1,2,down,down,down,down,down,-0.763126448,0.005969409,0.027613555,3566,8.39E-09,24867.03553,0.649446417,9.92E-05,0.602136588,no,256.6,31,3.972711268,2311,0.066800726,0.066800726,0.58575791,0.726837536,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AGER,177,mRNA,NA,0,0,0,1,1,up,down,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,9.69165488,2.54589372,3.780947255,782.1,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
AGPAT2,10555,mRNA,ENSG00000169692,0,0,1,0,1,up,up,up,down,up,1.836842671,0.000499038,0.004278368,5245,1.98E-08,5584.044922,0.89465323,0.000140213,0.484492732,no,4.021023766,6.580110497,10.98576963,38.1557377,-0.151997619,0.151997619,0.580195503,0.755331181,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AGTRAP,57085,mRNA,ENSG00000177674,1,1,0,0,2,down,down,up,down,down,-1.283658477,0.019774865,0.066332557,3469,9.00E-09,25340.3519,0.462470286,0.000108248,0.412026042,no,256.6,191,2.635033758,416.5,0,0,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AHNAK,79026,mRNA,ENSG00000124942,0,0,0,1,1,down,down,down,down,down,-1.121743412,0.002548784,0.014828892,5170,8.75E-09,16045.35829,0.889208857,0.000138146,0.492245132,no,8.475551294,7.042267051,2.227250111,1577.187251,0.036294456,0.036294456,0.361122825,0.334610228,yes,0.000538213,0,0.013070125,0.001162657,0.166666667,NA,2120723867,3478160908,-1357437041,269593192.8,0.039752363,0,0
